SpeSpecimenNo,SpeSpecimenNoText,RLBCataloguedByRef.NamFirst,RLBCataloguedByRef.NamLast,RLBDateCatalogued,Column,Column2,IdeTaxonRef_tab(1).ClaGenus,IdeTaxonRef_tab(1).ClaSpecies,Column3,Column4,SitSiteRef_tab(1).RLBDepositNo,RLBRemarks,SitSiteRef_tab(1).RLBCoordinates_tab(1),RLBGHancockCollGrid2,SitSiteRef_tab(1).RLBDepth1,RLBGHancockCollDepth2,RLBRemarks2,RLBGCollectedByInitials,RLBGCollectedByName,IdeIdentifiedByParty_tab(1),IdeDateIdentified0,RLBGroup,RLBElementPart,SpeSide,RLBElementNo,RLBElement,RLBSubElement,RLBEleRemarks,RLBOntogeneticAge,SpePublicationRemarks,RLBDateCollected,Column5,IdeTaxonRef_tab(1).SecDepartment_tab(1),IdeFiledAs_tab(1),SitSiteRef_tab(1).RLBCollection,ColDivision,ColDepartment
Project Acronym,Catalog number,Cataloger First Name,Cataloger Last Name,Date cataloged,higher taxonomic designation,IRN taxonmy,Scientific Name Genus,Scientific Name Species,taxonomy questions,Sites IRN,Pit No.,General locality,Grid No. (1),Grid No. (2),Depth 1,Depth 2,Locality Remarks,Collector initials,Collector name,Identified by,Identified date,Element Group,Element part,Element side,Element No.,Element,Sub-Element,Element remarks,Ontogenetic age,"General publication remarks; author, date, journal title, volume",Date collected (true value),Additional notes that do not fit in other fields,Department (always Rancho La Brea),Filed as (always yes),Collection,Division,Department
HC,12147.0,Mary ,Romig,1984-05-30T00:00:00Z,,4101.0,Canis,dirus,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,hindlimb,,rt,,innominate,,w/o most of ischium and part of pubis;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13507.0,Mary ,Romig,1984-08-16T00:00:00Z,,4101.0,Canis,dirus,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,forelimb,,rt,IV,metacarpal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14740.0,Mary ,Romig,1984-10-12T00:00:00Z,,4101.0,Canis,dirus,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,hindlimb,,lt,II,metatarsal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14741.0,Mary ,Romig,1984-10-12T00:00:00Z,,4101.0,Canis,dirus,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,hindlimb,,lt,II,metatarsal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17661.0,Mary ,Romig,1984-12-19T00:00:00Z,,4101.0,Canis,dirus,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,,,basihyal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19339.0,Mary ,Romig,1985-02-13T00:00:00Z,,4101.0,Canis,dirus,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,axial,,,III,cervical vertebra,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19443.0,Mary ,Romig,1985-02-21T00:00:00Z,,4101.0,Canis,dirus,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,axial,,,II,thoracic vertebra,,w broken neural spine,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17725.0,Mary ,Romig,1984-12-20T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,lt and rt,,premaxilla,,"w lt and rt I1-2/, erupting rt I3/;",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17730.0,Mary ,Romig,1984-12-20T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,lt,,premaxilla,,"w maxilla; w I1-3/, C/",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17756.0,Mary ,Romig,1984-12-21T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,rt,,premaxilla,,w maxilla;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17776.0,Mary ,Romig,1984-12-24T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,lt,,maxilla,,"w DP3/, frags of DP2,4/, unerupted P2,3/;",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17795.0,Mary ,Romig,1984-12-26T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,rt,,premaxilla,,"w maxilla; w C/, P2-4/; M1-3/; in 6 pieces;",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17796.0,Mary ,Romig,1984-12-26T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,rt,,M2/,,prob same indiv as LACMHC 17797;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17797.0,Mary ,Romig,1984-12-26T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,rt,,maxilla,,frag; w M3/; prob same indiv as LACMHC 17796;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17798.0,Mary ,Romig,1984-12-26T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,rt,,maxilla,,"frag; w P3,4/; in two pieces;",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17822.0,Mary ,Romig,1984-12-27T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,,,occipital,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18523.0,Mary ,Romig,1985-01-16T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,lt,,P3/ and P4/,,same indiv;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18681.0,Mary ,Romig,1985-01-23T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,rt,,I2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18722.0,Mary ,Romig,1985-01-24T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,rt,,I2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18872.0,Mary ,Romig,1985-01-28T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,lt,,DP4/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18995.0,Mary ,Romig,1985-01-31T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,rt,,P2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18997.0,Mary ,Romig,1985-01-31T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,rt,,P2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19055.0,Mary ,Romig,1985-02-01T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,rt,,P4/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19092.0,Mary ,Romig,1985-02-04T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,lt,,M1/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19124.0,Mary ,Romig,1985-02-04T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,lt,,M2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19141.0,Mary ,Romig,1985-02-05T00:00:00Z,,4111.0,Equus,occidentalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,tooth,,rt,,M2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15206.0,Mary ,Romig,1984-10-19T00:00:00Z,,4182.0,Panthera,atrox,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,forelimb,,lt,1st,carpal phalanx,digit I,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15335.0,Mary ,Romig,1984-10-23T00:00:00Z,,4182.0,Panthera,atrox,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,hindlimb,dist,rt,,tibia,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15522.0,Mary ,Romig,1984-10-25T00:00:00Z,,4182.0,Panthera,atrox,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,hindlimb,,lt,,cuboid,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16055.0,Mary ,Romig,1984-11-06T00:00:00Z,,4182.0,Panthera,atrox,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,hindlimb,,rt,III,metatarsal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16190.0,Mary ,Romig,1984-11-08T00:00:00Z,,4182.0,Panthera,atrox,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,hindlimb,,lt,1st,tarsal phalanx,digit III,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14538.0,Mary ,Romig,1984-10-09T00:00:00Z,,4109.0,Paramylodon,harlani,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,cranial,,,,skull,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11841.0,Mary ,Romig,1984-04-23T00:00:00Z,,4150.0,Smilodon,fatalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,axial,,,VI,lumbar vertebra,,w broken lt transverse process; path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11897.0,Mary ,Romig,1984-04-25T00:00:00Z,,4150.0,Smilodon,fatalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,axial,,,VII,lumbar vertebra,,w broken processes;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12663.0,Mary ,Romig,1984-06-26T00:00:00Z,,4150.0,Smilodon,fatalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,axial,ant,,,caudal vertebra,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16185.0,Mary ,Romig,1984-11-08T00:00:00Z,,4150.0,Smilodon,fatalis,,581.0,3.0,,D-3,,13.0,,,MFP,Museum Field Party,,,forelimb,,lt,1st,carpal phalanx,digit III,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11181.0,Mary ,Romig,1984-03-23T00:00:00Z,,4101.0,Canis,dirus,,2547.0,3.0,,D-3,,14.0,,,MFP,Museum Field Party,,,forelimb,prox,rt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17804.0,Mary ,Romig,1984-12-26T00:00:00Z,,4111.0,Equus,occidentalis,,2547.0,3.0,,D-3,,14.0,,,MFP,Museum Field Party,,,cranial,,rt,,maxilla,,w P1/; DP2-4/,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18769.0,Mary ,Romig,1985-01-25T00:00:00Z,,4111.0,Equus,occidentalis,,2547.0,3.0,,D-3,,14.0,,,MFP,Museum Field Party,,,tooth,,lt,,DP2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18815.0,Mary ,Romig,1985-01-25T00:00:00Z,,4111.0,Equus,occidentalis,,2547.0,3.0,,D-3,,14.0,,,MFP,Museum Field Party,,,tooth,,lt,,DP3/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18923.0,Mary ,Romig,1985-01-29T00:00:00Z,,4111.0,Equus,occidentalis,,2547.0,3.0,,D-3,,14.0,,,MFP,Museum Field Party,,,tooth,,lt,,DP/,,frag;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13617.0,Mary ,Romig,1984-08-20T00:00:00Z,,4150.0,Smilodon,fatalis,,2547.0,3.0,,D-3,,14.0,,,MFP,Museum Field Party,,,axial,prox,lt,IX,rib,,w broken capitulum; path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10754.0,Mary ,Romig,1984-02-22T00:00:00Z,,4101.0,Canis,dirus,,584.0,3.0,,D-3,,15.0,,,MFP,Museum Field Party,,,forelimb,diaph of,rt,,humerus,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18721.0,Mary ,Romig,1985-01-24T00:00:00Z,,4111.0,Equus,occidentalis,,584.0,3.0,,D-3,,15.0,,,MFP,Museum Field Party,,,tooth,,rt,,I2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19054.0,Mary ,Romig,1985-02-01T00:00:00Z,,4111.0,Equus,occidentalis,,584.0,3.0,,D-3,,15.0,,,MFP,Museum Field Party,,,tooth,,lt,,P4/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16193.0,Mary ,Romig,1984-11-08T00:00:00Z,,4182.0,Panthera,atrox,,584.0,3.0,,D-3,,15.0,,,MFP,Museum Field Party,,,hindlimb,,lt,1st,tarsal phalanx,digit III,same indiv as LACMHC 16183,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14244.0,Mary ,Romig,1984-09-11T00:00:00Z,,4150.0,Smilodon,fatalis,,584.0,3.0,,D-3,,15.0,,,MFP,Museum Field Party,,,axial,,rt,,rib,,w broken capitulum; path,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16216.0,Mary ,Romig,1984-11-08T00:00:00Z,,4150.0,Smilodon,fatalis,,584.0,3.0,,D-3,,15.0,,,MFP,Museum Field Party,,,forelimb,,rt,1st,carpal phalanx,digit II,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16222.0,Mary ,Romig,1984-11-08T00:00:00Z,,4182.0,Panthera,atrox,,585.0,3.0,,D-3,,16.0,,,MFP,Museum Field Party,,,hindlimb,,lt,1st,tarsal phalanx,digit III,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12830.0,Mary ,Romig,1984-07-03T00:00:00Z,,4101.0,Canis,dirus,,2553.0,3.0,,D-3,,17.0,,,MFP,Museum Field Party,,,hindlimb,diaph of ,rt,,femur,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17740.0,Mary ,Romig,1984-12-20T00:00:00Z,,4111.0,Equus,occidentalis,,2553.0,3.0,,D-3,,17.0,,,MFP,Museum Field Party,,,cranial,,rt,,premaxilla,,"w ant maxilla; w I1-3/, DC/",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19142.0,Mary ,Romig,1985-02-05T00:00:00Z,,4111.0,Equus,occidentalis,,2553.0,3.0,,D-3,,17.0,,,MFP,Museum Field Party,,,tooth,,rt,,M2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18642.0,Mary ,Romig,1985-01-22T00:00:00Z,,4111.0,Equus,occidentalis,,589.0,3.0,,D-3,,18.0,,,MFP,Museum Field Party,,,tooth,,rt,,I1/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10813.0,Mary ,Romig,1984-03-09T00:00:00Z,,4101.0,Canis,dirus,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,forelimb,,rt,,radius,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11177.0,Mary ,Romig,1984-03-23T00:00:00Z,,4101.0,Canis,dirus,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,forelimb,diaph of,rt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12771.0,Mary ,Romig,1984-06-28T00:00:00Z,,4101.0,Canis,dirus,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,hindlimb,diaph of,lt,,femur,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13870.0,Mary ,Romig,1984-08-29T00:00:00Z,,4101.0,Canis,dirus,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,appendicular,,,,terminal phalanx,,recatalogued as original number is illegible;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18041.0,Mary ,Romig,1985-01-03T00:00:00Z,,4101.0,Canis,dirus,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,hindlimb,dist,rt,III,metatarsal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19868.0,Mary ,Romig,1985-03-14T00:00:00Z,,4101.0,Canis,dirus,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,axial,,,X,thoracic vertebra,,w broken neural spine,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17738.0,Mary ,Romig,1984-12-20T00:00:00Z,,4111.0,Equus,occidentalis,,593.0,3.0,,D-3,,19.0,,,MFP,Museum Field Party,,,cranial,,lt,,premaxilla,,w erupting DI1/;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18549.0,Mary ,Romig,1985-01-18T00:00:00Z,,4111.0,Equus,occidentalis,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,tooth,,lt,,DI1/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15167.0,Mary ,Romig,1984-10-18T00:00:00Z,,4182.0,Panthera,atrox,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,appendicular,,,,sesamoid,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16142.0,Mary ,Romig,1984-11-07T00:00:00Z,,4182.0,Panthera,atrox,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,forelimb,,rt,1st,carpal phalanx,digit II,same indiv as LACMHC 16139,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12519.0,Mary ,Romig,1984-06-21T00:00:00Z,,4150.0,Smilodon,fatalis,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,axial,,,VIII,thoracic vertebra,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12603.0,Mary ,Romig,1984-06-25T00:00:00Z,,4150.0,Smilodon,fatalis,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,axial,ant,,,caudal vertebra,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13047.0,Mary ,Romig,1984-07-27T00:00:00Z,,4150.0,Smilodon,fatalis,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,axial,prox,lt,XI,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13811.0,Mary ,Romig,1984-08-27T00:00:00Z,,4150.0,Smilodon,fatalis,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,axial,,lt,IX,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16557.0,Mary ,Romig,1984-11-14T00:00:00Z,,4150.0,Smilodon,fatalis,,593.0,3.0,,D-3,,19.0,21.0,,MFP,Museum Field Party,,,forelimb,,lt,2nd,carpal phalanx,digit IV,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12492.0,Mary ,Romig,1984-06-21T00:00:00Z,,4150.0,Smilodon,fatalis,,2557.0,3.0,,D-3,,20.0,,,MFP,Museum Field Party,,,axial,,,VII,thoracic vertebra,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15145.0,Mary ,Romig,1984-10-18T00:00:00Z,,4182.0,Panthera,atrox,,2556.0,3.0,,D-3,,20.5,,,MFP,Museum Field Party,,,forelimb,,lt,IV,metacarpal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11239.0,Mary ,Romig,1984-03-26T00:00:00Z,,4101.0,Canis,dirus,,2558.0,3.0,,D-3,,21.0,,,MFP,Museum Field Party,,,cranial,,rt,,dentary,,"frag; w /p3, frag of /p4; path;",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13776.0,Mary ,Romig,1984-08-24T00:00:00Z,,4101.0,Canis,dirus,,2558.0,3.0,,D-3,,21.0,,,MFP,Museum Field Party,,,hindlimb,dist,rt,,tibia,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18599.0,Mary ,Romig,1985-01-18T00:00:00Z,,4111.0,Equus,occidentalis,,2558.0,3.0,,D-3,,21.0,,,MFP,Museum Field Party,,,tooth,,lt,,DI2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11067.0,Mary ,Romig,1984-03-21T00:00:00Z,,4101.0,Canis,dirus,,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,forelimb,diaph of,lt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18608.0,Mary ,Romig,1985-01-18T00:00:00Z,,4111.0,Equus,occidentalis,,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,tooth,,rt,,DI2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15202.0,Mary ,Romig,1984-10-19T00:00:00Z,,4182.0,Panthera,atrox,,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,forelimb,,lt,1st,carpal phalanx,digit 1,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16118.0,Mary ,Romig,1984-11-07T00:00:00Z,,4182.0,Panthera,atrox,,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,hindlimb,,rt,1st,tarsal phalanx,digit III,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16134.0,Mary ,Romig,1984-11-07T00:00:00Z,,4182.0,Panthera,atrox,,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,forelimb,,lt,1st,carpal phalanx,digit IV,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14364.0,Mary ,Romig,1984-09-18T00:00:00Z,,4119.0,Mammalia,,questionable taxon,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,axial,,lt,,rib,,frag; path,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14495.0,Mary ,Romig,1984-10-08T00:00:00Z,,4119.0,Mammalia,,questionable taxon,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,axial,,,,costal cartilage,,ossified; path,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12397.0,Mary ,Romig,1984-06-15T00:00:00Z,,4150.0,Smilodon,fatalis,,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,axial,,,VI and VII,cervical vertebra,,path;,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13307.0,Mary ,Romig,1984-08-14T00:00:00Z,,4150.0,Smilodon,fatalis,,594.0,3.0,,D-3,,21.5,,,MFP,Museum Field Party,,,axial,,rt,VIII,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17112.0,Mary ,Romig,1984-11-29T00:00:00Z,,4182.0,Panthera,atrox,,2560.0,3.0,,D-3,,22.0,,,MFP,Museum Field Party,,,tooth,,lt,,I2/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19296.0,Mary ,Romig,1985-02-12T00:00:00Z,,4101.0,Canis,dirus,,4726.0,3.0,,D-3,,,,,MFP,Museum Field Party,,,axial,,,I,thoracic vertebra,,w broken processes,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17009.0,Mary ,Romig,1984-11-27T00:00:00Z,,4182.0,Panthera,atrox,,4726.0,3.0,,D-3,,,,,MFP,Museum Field Party,,,tooth,,lt,,/p3,,w broken roots;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14913.0,Mary ,Romig,1984-10-16T00:00:00Z,,4150.0,Smilodon,fatalis,,4726.0,3.0,,D-3,,,,,MFP,Museum Field Party,,,forelimb,,lt,,trapezoid,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13725.0,Mary ,Romig,1984-08-24T00:00:00Z,,4101.0,Canis,dirus,,2583.0,3.0,,D-4,,4.5,5.0,,MFP,Museum Field Party,,,hindlimb,diaph of,lt,,tibia,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19232.0,Mary ,Romig,1985-02-06T00:00:00Z,,4111.0,Equus,occidentalis,,2583.0,3.0,,D-4,,4.5,5.0,,MFP,Museum Field Party,,,tooth,,,,upper cheek tooth,,frag;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12240.0,Mary ,Romig,1984-06-11T00:00:00Z,,4150.0,Smilodon,fatalis,,2583.0,3.0,,D-4,,4.5,5.0,,MFP,Museum Field Party,,,axial,,,VII,lumbar vertebra,,w broken lt transverse process; path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12329.0,Mary ,Romig,1984-06-14T00:00:00Z,,4101.0,Canis,dirus,,638.0,3.0,,D-4,,6.0,7.0,,MFP,Museum Field Party,,,forelimb,,rt,,pisiform,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12784.0,Mary ,Romig,1984-06-28T00:00:00Z,,4101.0,Canis,dirus,,638.0,3.0,,D-4,,6.0,,,MFP,Museum Field Party,,,hindlimb,dist,lt,,femur,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
